fitness_avg_pic,expression,depth,length,factor_order_in_model,sym,freq,y_train_ret_period,start_date_train,end_date_train,start_date_test,end_date_test,metric,current_time
,ts_kurt_20(ts_argmax_5(ta_lr_intercept_10(c_power_c))),3,4,alpha_88,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_20(div(ta_rocp_14(ta_ema_55(ta_lr_intercept_5(v_rsi_6_obv))), TA_HT_DCPERIOD(ts_std_40(ta_tsf_10(ppo)))), ta_lr_slope_10(ts_sum_8(ts_lag_17(ts_kurt_20(ts_sma_21(v_rsi_24_sum))))))",6,16,alpha_89,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_range_20(ta_beta_10(ta_dx_14(cci_14, ori_trix_21, mul(c_power_c, oi_ccy)), ta_lr_angle_5(ta_ema_55(v_rsi_6_obv))))",4,11,alpha_90,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_max_10(ta_rocp_14(ts_sma_21(ts_skew_40(ta_rsi_24(sin(ts_sum_8(c_power_c))))))),7,8,alpha_91,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dema_55(ts_range_10(log(ta_mfi_14(ts_max_20(close_macd), v_cci_25_sum, ts_delta_8(v_rsi_24_obv), vol))))",5,10,alpha_92,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_5(ta_trix_8(ts_wma_21(elu(toptrader_count_lsr))), ta_trix_8(ta_lr_angle_5(mfi_index)))",4,8,alpha_93,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TA_SAR(TS_CORR_20(ts_lag_3(TS_COV_40(TS_COV_40(ori_rsi_24, sarext), ts_lag_17(vol))), ta_rocp_25(ts_argmax_10(ts_argrange_10(ma25_c)))), ts_argmax_10(ta_dema_55(ta_beta_20(sarext, cci_55))))",5,18,alpha_94,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocp_14(ta_mfi_25(ta_rocr_14(ts_prod_3(v_cci_25_obv)), sqrt(ts_kurt_40(v_ts_argrange_10)), ta_atr_14(ta_minus_di_14(c, v_ta_cmo_25, sar_close), ts_max_5(lgp_shortcut_illiq_6), ta_dema_21(ma55_c)), ta_dema_55(ta_willr_14(trades, v_rsi_24_sum, volume_macd))))",4,22,alpha_95,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,cos(ts_kurt_20(ta_lr_intercept_20(cos(ts_kurt_40(ta_tema_55(v_cmo_14_obv)))))),6,7,alpha_96,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ta_dema_55(ts_std_20(v_power_a)), ta_beta_5(tan(inv(ta_rocp_25(ts_sma_55(ta_minus_dm_14(v_trix_8_obv, lgp_shortcut_illiq_6))))), o_ts_range_10))",7,13,alpha_97,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
