fitness_avg_pic,expression,depth,length,factor_order_in_model,sym,freq,y_train_ret_period,start_date_train,end_date_train,start_date_test,end_date_test,metric,current_time
,"TA_SAR(ta_beta_20(ori_ta_obv, ta_dema_55(ts_max_10(v_rsi_12_obv))), ts_sum_8(TA_HT_DCPHASE(ta_minus_dm_14(ori_trix_8, v_cci_25_obv))))",4,11,alpha_98,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ta_tema_55(ts_lag_3(ta_trix_55(TS_COV_40(v_ts_range_5, ad_index)))), min(ta_tema_55(cos(ta_rocp_14(ma35_c))), ts_sum_8(ts_kurt_10(ta_tema_55(TS_COV_40(ta_trix_8(v_ts_day_max_20), ts_prod_17(ori_rsi_12)))))))",7,20,alpha_99,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_sma_8(ta_lr_angle_5(ta_dema_8(TA_TRANGE(v_rsi_12_obv, TS_COV_40(v_sar_obv, cci_14), ts_sma_21(ori_trix_55)))))",5,10,alpha_100,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_cmo_25(TA_BOP(l_ts_prod_8, ts_delta_3(ta_tsf_20(v_trix_8_obv)), ts_rank_10(add(toptrader_oi_lsr, v_ts_range_5)), ta_cmo_14(TA_BOP(close_macd, v_rsi_6_sum, v_ts_argrange_10, h_ts_std_10))))",4,16,alpha_101,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_10(ta_lr_intercept_10(ori_ta_obv), trades)",2,4,alpha_102,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_minus_dm_14(ts_rank_10(ts_skew_10(ta_rocr_14(cci_14))), ts_max_5(ta_dema_21(ts_skew_20(sarext))))",4,9,alpha_103,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"div(ta_ema_55(ta_lr_slope_20(ta_cci_14(ts_std_40(fm60), ta_dema_21(v_ts_range_5), cci_55))), ts_argmax_20(ts_max_10(ts_sma_8(TS_CORR_40(v_cmo_14_obv, oi)))))",5,15,alpha_104,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ts_max_5(v_trix_8_obv), ta_dema_8(v_trix_8_obv))",2,5,alpha_105,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_slope_5(ta_beta_10(ta_tsf_20(c_power_c), trades))",3,5,alpha_106,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argrange_20(TS_COV_20(ta_cci_25(toptrader_count_lsr, ori_cmo_25, r), ta_dema_55(v_bop_sum)))",3,8,alpha_107,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mfi_25(abs(ts_argmax_10(oi_ccy)), ts_delta_17(ta_minus_dm_25(ta_ema_55(v_ts_argrange_10), ts_lag_3(close_macd))), ts_prod_3(tanh(ts_sum_3(ma25_c))), TS_COV_40(ts_lag_8(TS_CORR_20(toptrader_oi_lsr, h_ta_lr_angle_10)), ta_dema_55(ts_std_20(v_ta_cmo_25))))",4,22,alpha_108,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_willr_14(vol_ccy, m_line, l_line)",1,4,alpha_109,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_slope_5(ta_beta_10(ta_mom_25(ta_rsi_6(ts_sum_3(v_cci_25_obv))), trades))",5,7,alpha_110,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_trix_8(mul(ta_ema_55(ts_std_20(ori_ta_ad)), ta_aroonosc_14(ts_delta_17(ts_kurt_40(c_ta_tsf_5)), sqrt(ts_max_5(v_rsi_6_sum)))))",5,12,alpha_111,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_min_10(tanh(TA_BOP(ts_prod_3(ts_kurt_20(ts_sma_21(v_rsi_24_sum))), ta_lr_angle_20(mul(h_ta_lr_angle_10, v_trix_8_obv)), ts_wma_21(ts_lag_8(taker_vol_lsr)), ts_wma_8(ta_dema_21(ori_trix_8)))))",6,17,alpha_112,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_20(ta_tsf_20(ts_lag_17(ad_index)), ta_trix_8(ts_prod_3(oi_ccy)))",3,7,alpha_113,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_mean_return_20(ts_rank_20(ts_max_20(ts_argmax_5(tanh(ta_minus_dm_14(ppo, v_trix_8_obv))))))",6,8,alpha_114,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rsi_6(ta_dema_55(TS_COV_40(ts_lag_17(ta_dema_55(ts_lag_8(ts_sma_21(v_power_a)))), ta_trix_21(ts_kurt_10(taker_vol_lsr)))))",7,11,alpha_115,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TA_SAR(tanh(v_rsi_6_sum), ta_ema_55(l_ts_argmax_20))",2,5,alpha_116,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_delta_8(ts_delta_3(ad_index)),2,3,alpha_117,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_lr_angle_5(ts_mean_return_5(ts_wma_8(v_rsi_6_obv))),3,4,alpha_118,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argmax_20(sin(ta_tsf_10(ta_tema_55(elu(sub(o_ts_range_10, ma8_c))))))",6,8,alpha_119,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_lr_angle_5(ts_delta_8(ori_ta_obv)),2,3,alpha_120,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ta_atr_25(ta_lr_slope_5(v_ts_std_20), ta_aroonosc_14(ts_range_5(v_rsi_12_obv), TA_BOP(c_ts_sma_21, ori_trix_8, c_power_c, toptrader_count_lsr)), ts_argrange_20(ori_rsi_12)), ts_argmin_5(TA_SAR(v_ts_std_20, v_rsi_6_sum)))",4,18,alpha_121,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_angle_10(ta_dx_14(sar_close, TS_CORR_20(ori_ta_ad, o_ts_range_10), TS_COV_40(v_rsi_24_sum, obv_v)))",3,9,alpha_122,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_trima_55(ta_trix_8(tanh(v_cci_25_obv))),3,4,alpha_123,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_5(ts_argmax_20(ts_argmin_5(ts_sum_3(ta_minus_dm_14(ma15_c, sarext)))), ta_lr_intercept_10(ta_mfi_25(TA_SAR(ts_prod_3(ta_beta_10(ori_ta_ad, l_ts_prod_8)), v_rsi_24_sum), log(TS_COV_40(v_rsi_6_sum, ori_ta_bop)), max(ts_min_20(v_ts_argrange_10), ts_min_10(h_ta_lr_angle_10)), ts_prod_17(inv(cci_14)))))",6,27,alpha_124,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_angle_5(ta_dema_8(ts_max_20(TS_CORR_20(TS_CORR_40(v_cmo_14_obv, ori_ta_macd), ta_beta_20(mfi_30, h_ts_argmax_5)))))",5,10,alpha_125,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TA_SAR(ta_lr_angle_10(v_rsi_6_obv), max(v_rsi_24_sum, l_ts_argrange_5))",2,6,alpha_126,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_mean_return_10(ta_beta_5(ta_ema_55(ta_ema_55(c_power_c)), ts_skew_20(ta_rocp_25(TS_CORR_20(v_cci_25_obv, volume_macd)))))",5,10,alpha_127,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_rocr_25(ts_max_5(v_rsi_6_obv)),2,3,alpha_128,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_cmo_25(ts_std_10(ta_trix_8(ts_prod_17(c)))),4,5,alpha_129,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_min_10(ts_delta_3(ta_tsf_10(ts_prod_8(ta_tema_55(abs(c_power_c)))))),6,7,alpha_130,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"mul(ta_mfi_14(cci_14, TS_CORR_20(ts_sum_17(ori_rsi_6), ma25_c), ts_lag_17(v_cci_25_sum), toptrader_count_lsr), ta_tema_21(ori_cmo_25))",4,12,alpha_131,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_delta_3(elu(ta_mfi_14(ts_range_20(taker_vol_lsr), sar_index, ta_minus_di_25(l_ts_day_min_40, close_macd, stdevrate), v_rsi_6_obv)))",4,11,alpha_132,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_rocp_14(ts_argmin_20(ta_mom_25(v_rsi_6_obv))),3,4,alpha_133,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_cmo_14(ts_lag_3(v_bop_sum)),2,3,alpha_134,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_rank_5(TA_SAR(ts_argmax_20(ts_sum_17(ts_std_40(c_power_c))), ta_minus_di_25(max(v_rsi_6_obv, ori_trix_21), ta_dx_25(ts_skew_20(ma55_c), tan(h_ts_std_10), ts_argmax_5(v_bop_sum)), ts_lag_3(ta_tsf_10(o_ts_argmin_10)))))",5,20,alpha_135,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ta_dema_21(ta_minus_dm_14(ma25_c, v_rsi_12_obv)), ta_trix_21(sarext))",3,7,alpha_136,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TA_SAR(ts_prod_3(ts_max_10(sarext)), v_rsi_24_sum)",3,5,alpha_137,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_COV_40(ta_beta_10(ta_mom_12(ta_atr_25(v_rsi_6_obv, h_line, v_cci_25_obv)), ts_argrange_20(ta_beta_10(taker_vol_lsr, ta_tsf_10(v_trix_8_obv)))), ts_min_10(sub(ts_argrange_5(fm20), ts_argmin_5(ppo))))",5,18,alpha_138,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_minus_dm_25(ts_min_20(cci_25), ta_dx_25(oi_ccy, obv_v, elu(ori_ta_obv)))",3,8,alpha_139,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_prod_3(ts_sma_21(tan(mul(ts_lag_8(sarext), ts_mean_return_5(c_power_c)))))",5,8,alpha_140,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_mean_return_20(ts_argmin_20(ta_trix_21(ts_max_5(ts_wma_21(ts_wma_8(c_power_c)))))),6,7,alpha_141,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_mean_return_20(TA_SAR(ta_tsf_10(v_rsi_12_obv), add(ta_dema_21(v_bop_sum), v_rsi_24_obv)))",4,8,alpha_142,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_cmo_14(TS_CORR_20(cci_55, sarext))",2,4,alpha_143,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_mean_return_20(ts_rank_20(ts_max_20(ts_std_40(obv_v)))),4,5,alpha_144,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_delta_8(ts_lag_8(ta_dx_25(ta_lr_intercept_20(ta_dema_8(r)), ts_prod_8(v_rsi_12_obv), kdj_d)))",5,9,alpha_145,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_14(ta_dx_25(ta_lr_slope_5(ta_aroonosc_14(v_rsi_24_obv, vol_ccy)), ts_sum_8(ts_sum_3(c_power_c)), inv(ta_minus_dm_14(l_line, h_ts_kurt_20))), ts_min_20(ta_trima_8(ta_trix_55(ta_mom_12(ori_ta_ad)))), ta_atr_25(ts_range_10(ta_rsi_12(taker_vol_lsr)), ta_dx_25(ta_ema_21(m_line), ta_trix_8(vol), sub(ori_ta_ad, c_ts_argrange_10)), ts_min_20(ta_beta_20(v_rsi_6_obv, ori_ta_bop))))",5,34,alpha_146,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"mul(ts_argrange_10(add(TA_HT_DCPHASE(ta_lr_intercept_5(ori_ta_obv)), neg(ta_dema_21(oi)))), ta_lr_angle_20(TA_SAR(sar_close, o)))",5,13,alpha_147,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"cos(ta_beta_5(ta_trima_21(ta_dema_8(v_bop_sum)), ts_argmax_5(ta_minus_dm_25(o_ta_lr_slope_10, v_rsi_24_obv))))",4,9,alpha_148,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_25(ts_mean_return_5(ts_prod_17(v_power_a)), ta_tsf_20(v_rsi_24_obv), ta_rocp_25(l_ts_prod_8))",3,8,alpha_149,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TA_SAR(ta_tema_21(TS_CORR_20(taker_vol_lsr, close_macd)), ma55_c)",3,6,alpha_150,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_COV_20(ts_sum_3(ts_max_20(v_ts_sma_21)), ts_lag_8(ta_lr_intercept_10(ori_ta_ad)))",3,7,alpha_151,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_angle_5(TA_SAR(TS_COV_40(ts_prod_17(vol_ccy), ts_rank_20(cci_25)), h))",4,8,alpha_152,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ts_argmin_20(ta_trix_55(ta_dx_14(r, sarext, fm20))), ta_dema_21(ta_ema_55(ta_minus_dm_25(toptrader_count_lsr, l_ts_prod_8))))",4,12,alpha_153,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocp_25(TS_CORR_20(ts_argmax_10(TA_SAR(ma35_c, v_rsi_24_sum)), ts_delta_3(ta_cci_25(close_macd, v_ts_sma_21, stdevrate))))",4,11,alpha_154,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_dema_8(ta_rocp_25(ts_lag_8(ori_ta_obv))),3,4,alpha_155,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_ema_8(ts_prod_17(ta_lr_intercept_10(ori_ta_ad))),3,4,alpha_156,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_trix_8(ts_prod_17(ta_atr_25(oi, TA_BOP(ts_argmin_10(cci_25), TS_COV_20(sar_close, lgp_shortcut_illiq_6), ta_mfi_25(v_bop_sum, c, v_rsi_6_sum, sar_index), ts_rank_10(l_ts_argmax_20)), ta_lr_intercept_10(ts_wma_8(v_rsi_24_sum)))))",5,20,alpha_157,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_trima_8(ts_sma_8(ta_mom_12(ts_argrange_5(ta_lr_slope_20(v_sar_obv))))),5,6,alpha_158,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"mul(mul(ta_rocr_25(ta_trix_21(lgp_shortcut_illiq_6)), ta_mfi_25(cos(fm20), ta_mom_12(v_bop_sum), ta_atr_14(toptrader_count_lsr, o_ta_lr_slope_10, v_rsi_6_obv), TS_CORR_20(cci_55, sarext))), ta_minus_dm_14(TA_TRANGE(taker_vol_lsr, v_sar_obv, ori_ta_macd), ts_sum_17(fm40)))",4,24,alpha_159,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_prod_3(ta_mom_25(v_cmo_14_obv)),2,3,alpha_160,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_wma_21(TS_COV_20(ts_argrange_10(ma15_c), ta_dema_55(v_bop_sum)))",3,6,alpha_161,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_14(ta_dema_21(ts_lag_8(ta_tsf_10(TA_SAR(fm20, v_rsi_6_sum)))), ta_trima_21(min(TA_HT_DCPHASE(ta_rsi_12(ori_rsi_24)), ta_rocr_14(lgp_shortcut_illiq_6))), ts_min_5(ta_lr_intercept_10(ts_range_10(ta_atr_25(h_ts_argmax_5, c_power_c, ma55_c)))))",5,21,alpha_162,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_range_5(ts_sum_17(ta_mfi_25(cci_25, v_ts_argrange_10, l_ts_argmax_20, r)))",3,7,alpha_163,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_10(v_ts_day_max_20, ta_tsf_10(TA_SAR(ts_mean_return_5(sin(ta_trima_21(v_rsi_24_obv))), h)))",6,9,alpha_164,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ts_prod_8(oi_ccy), ta_tsf_10(v_trix_8_obv))",2,5,alpha_165,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"mul(ts_lag_17(ta_trima_8(ts_std_40(v_sar_obv))), ts_prod_8(ts_lag_17(ori_ta_ad)))",4,8,alpha_166,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TA_SAR(ta_tema_21(ts_argmax_5(sin(TS_CORR_40(ori_rsi_24, c_power_c)))), ma55_c)",5,8,alpha_167,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ts_kurt_20(ori_cmo_25), ts_std_40(ori_ta_obv))",2,5,alpha_168,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mfi_14(ta_beta_10(min(ts_sma_55(ts_argrange_5(ma35_c)), ts_mean_return_5(ta_willr_14(ori_rsi_12, v_bop_sum, ori_rsi_12))), TA_HT_DCPERIOD(ta_lr_slope_5(ta_trima_21(o_ta_lr_slope_10)))), ts_sma_8(ts_skew_20(ts_delta_17(TA_SAR(c_ts_sma_21, ad_index)))), v_trix_8_obv, ta_lr_intercept_10(ts_argrange_20(ts_sum_8(ts_prod_17(v_power_a)))))",5,27,alpha_169,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(count_lsr, ta_minus_dm_25(v_trix_8_obv, v_rsi_12_obv))",2,5,alpha_170,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_intercept_20(TS_COV_40(ts_mean_return_5(ts_kurt_10(ta_dema_55(v_power_a))), TS_CORR_40(TS_COV_40(ori_rsi_12, c_power_c), ts_rank_5(ta_lr_intercept_10(v_rsi_24_obv)))))",5,13,alpha_171,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,tan(ts_sum_17(ta_lr_intercept_20(neg(v_trix_8_obv)))),4,5,alpha_172,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_sum_3(ts_prod_17(tanh(ts_mean_return_20(ts_sma_55(ts_range_20(sarext)))))),6,7,alpha_173,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(cos(ts_sum_8(toptrader_oi_lsr)), ts_delta_3(o))",3,6,alpha_174,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_mean_return_5(elu(sarext)),2,3,alpha_175,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_angle_20(ts_argmax_10(TA_BOP(v_rsi_6_sum, sarext, v_cci_25_obv, ori_ta_obv)))",3,7,alpha_176,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_skew_40(ts_sma_8(ta_lr_angle_5(ta_dema_8(sarext)))),4,5,alpha_177,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_rank_20(ta_rsi_12(ts_min_10(ta_ema_55(ts_sma_8(v_rsi_12_obv))))),5,6,alpha_178,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dema_55(ta_lr_angle_10(TA_BOP(ta_trima_8(ta_mom_12(ma15_c)), sub(ts_prod_8(oi_ccy), ta_atr_14(kdj_k, ma15_c, ma55_c)), ts_prod_8(ta_dema_55(toptrader_oi_lsr)), ta_cci_14(ts_mean_return_20(ori_ta_macd), ts_argmin_20(oi_ccy), ta_rsi_6(ma15_c)))))",5,23,alpha_179,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ts_skew_40(div(v_cci_25_sum, cci_14)), TS_COV_20(ts_argmin_20(ori_trix_8), ta_minus_dm_25(l_ts_argmax_20, ad_index)))",3,11,alpha_180,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_lag_17(cos(ts_prod_3(ta_beta_10(ts_wma_55(ta_ema_21(sarext)), ta_dema_8(ta_lr_angle_20(sarext))))))",6,10,alpha_181,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argrange_20(TS_CORR_40(ta_aroonosc_14(ori_rsi_12, close_macd), taker_vol_lsr))",3,6,alpha_182,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_kurt_10(ta_atr_14(ta_lr_angle_20(ts_delta_8(sin(obv_v))), sar_index, v_power_a))",5,8,alpha_183,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ta_cmo_25(m_line), ts_lag_3(v_bop_sum))",2,5,alpha_184,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_willr_14(v_ts_argrange_10, sarext, tr_index)",1,4,alpha_185,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"sin(ta_dema_21(ts_skew_20(ts_kurt_40(ts_min_10(TS_CORR_40(ori_rsi_24, v_rsi_24_obv))))))",6,8,alpha_186,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,abs(cos(ts_kurt_40(ta_tema_55(v_cmo_14_obv)))),4,5,alpha_187,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"div(ts_sma_8(v_cci_25_obv), div(v_ts_argrange_10, h_ta_lr_angle_10))",2,6,alpha_188,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(TS_CORR_40(ts_rank_10(ta_cci_25(ts_kurt_10(stdevrate), ta_ema_21(h_ts_kurt_20), ta_lr_intercept_5(ma8_c))), ts_skew_40(ts_argmin_20(ts_argrange_20(TS_COV_20(ts_argrange_10(ma15_c), ta_dema_55(v_bop_sum)))))), neg(ts_kurt_20(ta_tema_55(ts_lag_3(ori_ta_ad)))))",7,23,alpha_189,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rsi_6(ta_minus_dm_14(ma25_c, lgp_shortcut_illiq_6))",2,4,alpha_190,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_mean_return_10(elu(TS_CORR_20(ori_ta_ad, fm60)))",3,5,alpha_191,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocr_14(ts_range_10(ta_beta_10(TS_COV_40(c_ts_sma_21, ts_std_20(v_rsi_12_obv)), ta_dema_8(toptrader_count_lsr))))",5,9,alpha_192,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_sma_55(ts_delta_3(sqrt(ta_tsf_20(ta_trix_8(ts_wma_21(ta_tema_8(toptrader_oi_lsr))))))),7,8,alpha_193,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_willr_14(v_rsi_24_obv, oi_ccy, ori_rsi_12)",1,4,alpha_194,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_prod_17(ts_argrange_10(toptrader_oi_lsr)),2,3,alpha_195,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_10(TA_BOP(v_ts_sma_21, v_cmo_14_obv, mfi_30, h_ts_std_10), ta_dema_55(fm30))",2,8,alpha_196,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_prod_17(ts_wma_21(TA_SAR(div(l_ts_argmax_20, v_rsi_12_obv), m_line)))",4,7,alpha_197,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_mean_return_20(TS_CORR_20(v_rsi_24_sum, count_lsr))",2,4,alpha_198,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_delta_3(ta_rocr_25(ta_lr_angle_5(ts_rank_20(cci_25)))),4,5,alpha_199,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_skew_20(ts_skew_40(ta_rsi_24(sin(ts_sum_8(c_power_c))))),5,6,alpha_200,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ta_trix_55(ts_sma_55(sarext)), ts_argmax_20(ta_trima_8(mul(fm40, c_ts_sma_21))))",4,9,alpha_201,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_min_5(ta_lr_slope_5(ta_willr_14(ts_lag_17(ta_lr_angle_10(count_lsr)), ta_beta_10(inv(h_ta_lr_angle_10), TS_COV_40(sar_close, obv_v)), ta_dema_8(sarext))))",5,14,alpha_202,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_skew_40(ts_std_20(ts_min_10(ts_sum_3(ta_dx_25(ts_skew_20(ts_max_20(ts_prod_8(ori_rsi_24))), ma8_c, ta_cci_14(v_power_a, ts_min_20(elu(fm20)), ta_cmo_25(TS_COV_20(ori_rsi_6, vol))))))))",8,19,alpha_203,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_kurt_20(ta_lr_slope_20(ts_prod_17(ts_kurt_40(ts_skew_10(ts_sma_55(toptrader_count_lsr)))))),6,7,alpha_204,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_argmax_10(ta_dema_21(ta_lr_slope_10(v_sar_obv))),3,4,alpha_205,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_14(tanh(ts_prod_8(max(fm40, v_rsi_12_obv))), ta_dema_21(ts_argrange_10(ta_aroonosc_25(v_rsi_24_sum, stdevrate))), ts_skew_10(abs(ts_delta_17(v_rsi_12_obv))))",4,15,alpha_206,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_25(ta_rsi_24(ts_range_20(v_rsi_24_obv)), ma25_c, ta_trima_21(v_rsi_6_obv))",3,7,alpha_207,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
